Elements Clean Sheets Per 90,Elements Saves,Elements Transfers In Event,Elements Form Rank,Elements Transfers Out Event,Elements Assists,Elements Expected Goals Conceded Per 90,Elements Saves Per 90,Elements Goals Conceded Per 90,Elements Expected Assists Per 90,Elements Yellow Cards,Elements Event Points
0.3,3.0,24.0,400.0,30.0,1.0,1.79,1.88,1.6,0.07,3.0,1.0
0.3,3.0,24.0,726.0,30.0,1.0,1.79,1.88,1.6,0.07,3.0,1.0
0.1,3.0,11.0,538.0,141.0,1.0,1.53,1.88,1.6,0.02,4.0,1.0
0.34,3.0,8176.0,260.0,17274.99999999997,5.0,1.18,1.88,1.14,0.15,3.0,1.0
0.34,3.0,8176.0,613.0,17274.99999999997,5.0,1.18,1.88,1.14,0.15,3.0,1.0
0.34,3.0,287.0,335.0,1029.0,2.0,1.9,1.88,3.31,0.06,3.0,1.0
0.34,3.0,36.0,731.55,259.0,2.0,1.49,1.88,3.31,0.08,1.0,1.0
0.34,3.0,36.0,644.0,5.0,2.0,1.49,1.88,3.31,0.08,1.0,1.0
0.53,3.0,11.0,709.0,35.0,2.0,1.05,1.88,0.7445,0.08,1.0,1.0
0.11,3.0,261.0,77.0,767.0,3.0,1.48,1.88,1.95,0.29549999999999954,5.0,2.0
0.19,3.0,5020.0,39.45,17274.99999999997,4.0,1.38,1.88,1.38,0.16,5.0,1.0
0.19,3.0,5020.0,379.0,1500.0,4.0,2.6,1.88,1.38,0.29549999999999954,5.0,1.0
0.19,3.0,5020.0,651.0,173.0,4.0,2.6,1.88,1.38,0.29549999999999954,5.0,1.0
0.19,3.0,5020.0,464.0,18.0,4.0,2.6,1.88,1.38,0.29549999999999954,5.0,1.0
0.19,3.0,42.0,563.0,205.0,4.0,2.6,1.88,1.38,0.29549999999999954,5.0,1.0
0.19,3.0,42.0,702.0,5.0,4.0,2.6,1.88,1.38,0.29549999999999954,5.0,1.0
0.5,3.0,56.0,518.0,1897.0,4.0,0.94,1.88,0.7445,0.29549999999999954,5.0,1.0
0.5,3.0,56.0,731.55,5.0,4.0,0.94,1.88,0.7445,0.29549999999999954,5.0,1.0
0.19,3.0,399.0,145.0,3179.0,1.0,1.39,1.88,1.44,0.05,4.0,1.0
0.29,3.0,202.0,180.0,3321.0,1.0,1.35,1.88,1.33,0.07,4.0,1.0
0.18,59.0,833.0,161.0,10437.0,1.0,1.57,2.68,1.68,0.07,4.0,1.0
0.54,59.0,99.0,199.0,92.0,1.0,2.41,2.68,2.18,0.04,4.0,1.0
0.33,59.0,2037.0,232.0,8314.0,2.0,1.69,2.68,1.53,0.03,2.0,1.0
0.19,59.0,11.0,676.0,123.0,2.0,1.88,2.68,2.33,0.03,2.0,1.0
0.25,59.0,24.0,404.0,44.0,2.0,1.57,2.68,2.24,0.12,2.0,1.0
0.36,59.0,12.0,212.0,162.0,2.0,1.35,2.68,1.07,0.09,3.0,1.0
0.36,59.0,12.0,723.0,5.0,2.0,1.35,2.68,1.07,0.09,3.0,1.0
0.36,59.0,69.0,429.0,21.0,2.0,1.35,2.68,1.07,0.09,3.0,1.0
0.29,59.0,345.0,78.0,1687.0,4.0,1.69,2.68,1.78,0.09,2.0,2.0
0.47,59.0,11.0,557.0,207.0,4.0,2.21,2.68,1.87,0.07,1.0,2.0
0.39,59.0,50.0,191.0,179.0,1.0,1.52,2.68,2.14,0.24,1.0,1.0
0.39,59.0,50.0,465.0,81.0,1.0,1.52,2.68,2.14,0.24,1.0,1.0
0.39,59.0,297.0,436.0,978.0,1.0,1.52,2.68,2.14,0.24,1.0,1.0
0.39,59.0,20.0,490.0,85.0,1.0,1.52,2.68,2.14,0.24,1.0,1.0
0.39,59.0,39.0,504.0,52.0,1.0,1.52,2.68,2.14,0.24,1.0,1.0
0.39,59.0,58.0,347.0,54.0,1.0,3.0664999999999987,2.68,3.581999999999998,0.04,1.0,1.0
0.39,59.0,90.0,409.0,284.0,1.0,3.0664999999999987,2.68,3.581999999999998,0.04,1.0,1.0
0.39,59.0,21.0,650.0,5.0,1.0,3.0664999999999987,2.68,3.581999999999998,0.04,1.0,1.0
0.39,59.0,116.0,599.0,5.0,1.0,3.0664999999999987,2.68,3.581999999999998,0.04,1.0,1.0
0.39,59.0,116.0,636.0,5.0,1.0,3.0664999999999987,2.68,3.581999999999998,0.04,1.0,1.0
0.39,59.0,116.0,628.0,72.0,1.0,3.0664999999999987,2.68,3.581999999999998,0.04,1.0,1.0
0.39,59.0,11.0,526.0,64.0,1.0,1.69,2.68,1.46,0.02,1.0,1.0
0.39,59.0,188.0,431.0,176.0,1.0,1.69,2.68,1.46,0.02,1.0,1.0
0.39,59.0,125.0,417.0,256.0,1.0,1.69,2.68,1.46,0.02,1.0,1.0
0.21,59.0,1171.0,227.0,2825.0,3.0,1.39,2.68,1.27,0.07,6.0,2.0
0.21,59.0,103.0,566.0,418.0,3.0,1.39,2.68,1.27,0.07,6.0,2.0
0.22,59.0,3148.0,142.0,4019.0,1.0,1.4,2.68,1.23,0.04,1.0,1.0
0.22,59.0,32.0,678.0,95.0,1.0,1.4,2.68,1.23,0.04,1.0,1.0
0.18,59.0,1497.0,298.0,5007.0,1.0,1.42,2.68,1.32,0.05,6.0,2.0
0.15,59.0,7128.0,101.0,9665.0,2.0,1.35,2.68,1.3,0.09,6.0,2.0
0.15,59.0,7128.0,731.55,15.0,2.0,1.35,2.68,1.3,0.09,6.0,2.0
0.15,59.0,124.0,707.0,201.0,2.0,1.35,2.68,1.3,0.09,6.0,2.0
0.15,59.0,67.0,233.0,70.0,1.0,1.2,2.68,2.05,0.13,6.0,2.0
0.16,59.0,4206.0,185.0,13099.0,5.0,1.32,2.68,1.33,0.2,4.0,4.0
0.16,59.0,4206.0,731.55,27.0,5.0,1.32,2.68,1.33,0.2,4.0,4.0
0.16,59.0,4206.0,481.0,20.0,5.0,1.32,2.68,1.33,0.2,4.0,4.0
0.08450000000000003,59.0,824.0,312.0,3173.0,1.0,1.41,2.68,1.32,0.08,3.0,1.0
0.08450000000000003,59.0,5390.0,71.0,2456.0,1.0,1.74,2.68,1.68,0.1,1.0,1.0
0.08450000000000003,59.0,907.0,546.0,371.0,1.0,1.74,2.68,1.68,0.1,1.0,1.0
0.17,59.0,22.0,625.0,949.0,1.0,1.86,2.68,1.7,0.05,4.0,1.0
0.17,59.0,22.0,731.55,56.0,1.0,1.86,2.68,1.7,0.05,4.0,1.0
0.17,59.0,22.0,589.0,5.0,1.0,1.86,2.68,1.7,0.05,4.0,1.0
0.19,59.0,7095.0,39.45,9855.0,4.0,1.49,2.68,1.45,0.13,3.0,2.0
0.19,59.0,1293.0,395.0,1432.0,4.0,1.62,2.68,2.54,0.03,3.0,1.0
0.19,59.0,23.0,731.55,123.0,4.0,2.04,2.68,1.24,0.29549999999999954,3.0,1.0
0.41,59.0,8366.0,122.0,17274.99999999997,6.0,1.25,2.68,0.99,0.09,5.0,1.0
0.41,59.0,452.0,349.0,1480.0,1.0,2.17,2.68,2.22,0.08,1.0,1.0
0.17,59.0,21872.0,40.0,17274.99999999997,6.0,1.37,2.68,1.29,0.29,4.0,6.0
0.17,59.0,21872.0,561.0,49.0,6.0,1.37,2.68,1.29,0.29,4.0,6.0
0.51,59.0,21872.0,570.0,548.0,6.0,1.62,2.68,1.02,0.08,2.0,6.0
0.19,70.0,3389.0,251.0,17274.99999999997,6.0,1.42,3.38,1.29,0.08,5.0,6.0
0.22,70.0,1092.0,139.0,780.0,6.0,1.41,3.38,1.1,0.01,2.0,2.0
0.09,70.0,16.0,560.0,205.0,6.0,1.24,3.38,1.06,0.01,6.0,2.0
0.16,70.0,1513.0,235.0,4210.0,5.0,1.43,3.38,1.38,0.18,1.0,1.0
0.16,70.0,1146.0,135.0,1018.0,2.0,1.33,3.38,1.04,0.16,6.0,7.0
0.16,70.0,1146.0,472.0,5.0,2.0,1.33,3.38,1.04,0.16,6.0,7.0
0.16,11.0,1444.0,294.0,182.0,2.0,1.42,3.67,1.33,0.16,6.0,3.0
0.25,11.0,287.0,261.0,942.0,2.0,1.48,3.67,0.99,0.11,2.0,3.0
0.25,11.0,16.0,642.0,21.0,2.0,1.48,3.67,0.99,0.11,2.0,3.0
0.25,11.0,43.0,646.0,27.0,2.0,0.82,3.67,0.99,0.11,1.0,3.0
0.25,11.0,229.0,366.0,319.0,2.0,1.18,3.67,1.69,0.01,1.0,3.0
0.25,11.0,312.0,49.0,575.0,2.0,1.18,3.67,1.69,0.01,1.0,8.0
0.15,11.0,1162.0,234.0,1187.0,2.0,1.31,3.67,1.6,0.08,3.0,8.0
0.15,11.0,1327.0,667.0,544.0,2.0,1.31,3.67,1.6,0.08,3.0,8.0
0.15,11.0,1327.0,610.0,42.0,2.0,1.31,3.67,1.6,0.08,3.0,8.0
0.2,11.0,11.0,311.0,105.0,1.0,1.53,3.67,1.22,0.02,1.0,8.0
0.37,11.0,1608.0,41.0,157.0,1.0,1.48,3.67,1.29,0.01,1.0,6.0
0.37,11.0,11.0,545.0,50.0,1.0,1.39,3.67,2.0,0.02,1.0,6.0
0.23,11.0,123.0,295.0,93.0,1.0,2.14,3.67,2.07,0.03,1.0,1.0
0.23,11.0,123.0,601.0,93.0,1.0,2.14,3.67,2.07,0.03,1.0,1.0
0.34,11.0,3213.0,86.0,17274.99999999997,5.0,1.24,3.67,1.01,0.16,1.0,1.0
0.3,11.0,23890.399999999987,39.45,5955.0,1.0,1.41,3.67,1.26,0.02,5.0,6.0
0.29,67.0,23890.399999999987,39.45,5748.0,1.0,1.39,2.79,1.25,0.02,3.0,6.0
0.29,67.0,63.0,524.0,122.0,1.0,1.39,2.79,1.25,0.02,3.0,6.0
0.38,67.0,109.0,148.0,125.0,3.0,1.43,2.79,1.22,0.11,7.0,2.0
0.29,67.0,120.0,188.0,104.0,3.0,1.53,2.79,1.56,0.08,2.0,3.0
0.21,67.0,52.0,225.0,42.0,3.0,1.32,2.79,1.25,0.09,4.0,3.0
0.29,67.0,23890.399999999987,39.45,8671.0,1.0,1.39,2.79,1.21,0.08,2.0,10.549999999999955
0.29,67.0,82.0,568.0,266.0,1.0,1.39,2.79,1.21,0.08,2.0,10.549999999999955
0.29,67.0,160.0,419.0,275.0,1.0,1.39,2.79,1.21,0.08,2.0,10.549999999999955
0.34,67.0,2193.0,42.0,1884.0,3.0,1.39,2.79,1.25,0.12,2.0,6.0
0.32,67.0,23890.399999999987,39.45,3414.0,4.0,1.33,2.79,1.13,0.1,5.0,10.549999999999955
